اسم الورقة المالية	الرمز	الكود الدولي	رابط الاخبار
 كونكريت فاشن جروب للاستثمارات التجارية والصناعية	CFGH	EGS672I2C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS672I2C014 
 المصريين للاستثمار والتنمية العمرانية	EIUD	EGS213S1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS213S1C010 
 الشرق الأوسط لصناعة الزجاج	MEGM	EGS3C061C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C061C015 
 الاهرام للطباعة و التغليف	EPPK	EGS360A1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS360A1C011 
 مينا فارما للأدوية و الصناعات الكيماوية	MIPH	EGS380G1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS380G1C011 
 سيدى كرير للبتروكيماويات - سيدبك	SKPC	EGS380S1C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS380S1C017 
 راية القابضة للأستثمارات المالية	RAYA	EGS690C1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS690C1C010 
 مجموعة جى. أم. سى للاستثمارات الصناعية والتجارية المالية	GMCI	EGS46051C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS46051C016 
 الورق للشرق الاوسط - سيمو	SIMO	EGS36091C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS36091C014 
 العامة لصناعة الورق - راكتا	RAKT	EGS36021C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS36021C011 
 المصرية الدولية للصناعات الدوائية - ايبيكو	PHAR	EGS38081C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38081C013 
 جولدن سميث كلاين	BIOC	EGS38171C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38171C012 
 يونيفرسال لصناعة مواد التعبئة و التغليف والورق - يونيباك	UNIP	EGS38161C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38161C013 
 الصناعات الكيماوية المصرية - كيما	EGCH	EGS38201C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38201C017 
 الاسكندرية للادوية والصناعات الكيماوية	AXPH	EGS38341C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38341C011 
